"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
4.48,3.13,"rcp85",2075,2105,2090,1990,"relative","bcc-csm1-1"
3.67,2,"rcp85",2075,2105,2090,1990,"relative","bcc-csm1-1"
3.07,1.33,"rcp85",2075,2105,2090,1990,"relative","bcc-csm1-1"
2.03,0.38,"rcp85",2075,2105,2090,1990,"relative","bcc-csm1-1"
2.29,1.54,"rcp85",2075,2105,2090,1990,"relative","bcc-csm1-1"
1.26,0.05,"rcp85",2075,2105,2090,1990,"relative","bcc-csm1-1"
3.38,2.57,"rcp85",2075,2105,2090,1990,"relative","bcc-csm1-1"
3.4,2.54,"rcp85",2075,2105,2090,1990,"relative","bcc-csm1-1"
3.28,1.98,"rcp85",2075,2105,2090,1990,"relative","bcc-csm1-1"
2.63,1.85,"rcp85",2075,2105,2090,1990,"relative","bcc-csm1-1"
3.14,2.03,"rcp85",2075,2105,2090,1990,"relative","bcc-csm1-1"
4.28,3.18,"rcp85",2075,2105,2090,1990,"relative","bcc-csm1-1"
