"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.76,0.83,"rcp45",2075,2105,2090,1990,"relative","GFDL-ESM2G"
1.37,0.17,"rcp45",2075,2105,2090,1990,"relative","GFDL-ESM2G"
0.96,-0.58,"rcp45",2075,2105,2090,1990,"relative","GFDL-ESM2G"
-0.3,-1.96,"rcp45",2075,2105,2090,1990,"relative","GFDL-ESM2G"
-0.7,-2.3,"rcp45",2075,2105,2090,1990,"relative","GFDL-ESM2G"
-1.52,-3.31,"rcp45",2075,2105,2090,1990,"relative","GFDL-ESM2G"
-1.17,-3.05,"rcp45",2075,2105,2090,1990,"relative","GFDL-ESM2G"
-1.37,-3.17,"rcp45",2075,2105,2090,1990,"relative","GFDL-ESM2G"
-0.93,-2.33,"rcp45",2075,2105,2090,1990,"relative","GFDL-ESM2G"
0.04,-1.31,"rcp45",2075,2105,2090,1990,"relative","GFDL-ESM2G"
0.67,-0.21,"rcp45",2075,2105,2090,1990,"relative","GFDL-ESM2G"
1.34,0.43,"rcp45",2075,2105,2090,1990,"relative","GFDL-ESM2G"
