"Station_ID","YEARMODA","Year","Month","Day","Tmin","Tmean","Tmax","Rainfall"
"04166",19900417,1990,4,17,2.9,6.8,9.2,6.7
"04166",19900418,1990,4,18,3,5.5,9.7,0
"04166",19900419,1990,4,19,2.3,6.6,11.9,0.5
"04166",19900420,1990,4,20,3.4,8.5,14.9,0
"04166",19900421,1990,4,21,7.5,11.8,17.3,5.1
"04166",19900422,1990,4,22,4.7,9.9,14.2,4.7
"04166",19900423,1990,4,23,6.6,8,12.4,18.9
"04166",19900424,1990,4,24,7.3,9,13.6,4.7
"04166",19900425,1990,4,25,6,9.4,15,1.6
"04166",19900426,1990,4,26,6.5,10.4,16,0
"04166",19900427,1990,4,27,6.6,9.4,13,6.3
"04166",19900428,1990,4,28,5.5,7.5,13,0
"04166",19900429,1990,4,29,1.9,11.6,18.4,0
"04166",19900430,1990,4,30,2.8,14.5,20.6,0
"04166",19900501,1990,5,1,5.7,15.8,24.3,0
"04166",19900502,1990,5,2,7.5,18.4,24.8,0
"04166",19900503,1990,5,3,12.6,17.6,23.4,0
"04166",19900504,1990,5,4,6.9,17.1,24.8,0
"04166",19900505,1990,5,5,7.9,17.2,26.3,0
"04166",19900506,1990,5,6,7.5,15.6,22.2,0
"04166",19900507,1990,5,7,7.1,12.7,23.3,0.2
"04166",19900508,1990,5,8,9.9,13.7,21.6,1.9
"04166",19900509,1990,5,9,8,15.6,23.6,0
"04166",19900510,1990,5,10,8,15,23.5,0.2
"04166",19900511,1990,5,11,9.8,12,18.2,22.6
"04166",19900512,1990,5,12,7.1,13,20.2,0
"04166",19900513,1990,5,13,6,15.4,22.2,0
"04166",19900514,1990,5,14,8.7,15.4,21.8,0
"04166",19900515,1990,5,15,10,18,23.6,0
"04166",19900516,1990,5,16,10.8,19.5,26.4,0
"04166",19900517,1990,5,17,12,18,24.5,0
"04166",19900518,1990,5,18,10.1,16.6,22,0
"04166",19900519,1990,5,19,8.6,17.4,23,0
"04166",19900520,1990,5,20,10.8,17.4,23.4,0
"04166",19900521,1990,5,21,9.1,15.5,22.3,3.4
"04166",19900522,1990,5,22,11.5,17,23.2,0.3
"04166",19900523,1990,5,23,12.3,17.8,23.7,0.2
"04166",19900524,1990,5,24,11.5,15.6,21.6,13.8
"04166",19900525,1990,5,25,10,11.8,15.8,0
"04166",19900526,1990,5,26,6.5,12.1,17.6,0
"04166",19900527,1990,5,27,3.3,12.3,20,0
"04166",19900528,1990,5,28,4.4,11.8,17.5,0
"04166",19900529,1990,5,29,2.1,10.8,17.6,0
"04166",19900530,1990,5,30,2.4,13.4,21.6,0
"04166",19900531,1990,5,31,4,15.6,24,0
"04166",19900601,1990,6,1,6.2,19.2,27,0.2
"04166",19900602,1990,6,2,10.8,12.9,19,23.2
"04166",19900603,1990,6,3,10,13.6,18.4,3.8
"04166",19900604,1990,6,4,12.2,13.7,18.3,0.2
"04166",19900605,1990,6,5,6.7,14.2,19.6,2.5
"04166",19900606,1990,6,6,11.1,13.6,15.4,0.1
"04166",19900607,1990,6,7,11.8,15.2,19,7.1
"04166",19900608,1990,6,8,11,12,15.9,4.7
"04166",19900609,1990,6,9,9.1,11.9,16.9,0.4
"04166",19900610,1990,6,10,9,10.8,15.2,5.6
"04166",19900611,1990,6,11,10.7,14.9,19,0
"04166",19900612,1990,6,12,11.1,14,16.7,1.7
"04166",19900613,1990,6,13,11.6,12.1,13.6,6.6
"04166",19900614,1990,6,14,10.5,13.2,15.8,0
"04166",19900615,1990,6,15,11.6,14.7,18,0
"04166",19900616,1990,6,16,12.1,15,19.5,0
"04166",19900617,1990,6,17,7.3,18,24.9,0
"04166",19900618,1990,6,18,10.1,16.6,22.3,0.1
"04166",19900619,1990,6,19,10.1,19.8,27.8,0.7
"04166",19900620,1990,6,20,15.6,16.2,19.6,5.6
"04166",19900621,1990,6,21,11.6,17,22.3,0
"04166",19900622,1990,6,22,12.1,15.6,18,3.9
"04166",19900623,1990,6,23,12.4,15.4,20.8,0.5
"04166",19900624,1990,6,24,10.5,16.4,21.6,1.6
"04166",19900625,1990,6,25,10.3,20.7,27.4,0
"04166",19900626,1990,6,26,12.2,24,30.3,0
"04166",19900627,1990,6,27,16.5,20.1,30,9
"04166",19900628,1990,6,28,16.5,19,23,7.1
"04166",19900629,1990,6,29,14.6,20.8,29.7,4.6
"04166",19900630,1990,6,30,14.2,22.6,29.5,3.8
"04166",19900701,1990,7,1,15.2,17.4,23,0
"04166",19900702,1990,7,2,10.2,16,21.4,1.8
"04166",19900703,1990,7,3,10.3,12.6,15.4,8.7
"04166",19900704,1990,7,4,11.4,15.7,19.6,1.7
"04166",19900705,1990,7,5,13.3,15.3,18.5,11.1
"04166",19900706,1990,7,6,11.2,12.5,16.7,1.1
"04166",19900707,1990,7,7,8.2,13.2,16.3,11
"04166",19900708,1990,7,8,12.5,16.1,21.1,0.3
"04166",19900709,1990,7,9,14.4,18.8,23,0
"04166",19900710,1990,7,10,12.1,13.8,17.9,0
"04166",19900711,1990,7,11,8.4,14.7,20.8,0
"04166",19900712,1990,7,12,7.8,18.4,25.8,0
"04166",19900713,1990,7,13,10.5,21.6,28.6,0
"04166",19900714,1990,7,14,14.6,18.8,25.1,0
"04166",19900715,1990,7,15,8,19,26.9,0
"04166",19900716,1990,7,16,10.4,21.6,29.3,0
"04166",19900717,1990,7,17,15.8,18.2,23.1,0
"04166",19900718,1990,7,18,9.7,15.4,21,0
"04166",19900719,1990,7,19,8.5,16.3,22.8,0
"04166",19900720,1990,7,20,8.8,19.2,27.1,0
"04166",19900721,1990,7,21,11.6,22.2,30.2,0
"04166",19900722,1990,7,22,13.6,22,28.8,0
"04166",19900723,1990,7,23,15,18.6,25.6,0
"04166",19900724,1990,7,24,8.7,16.6,24.2,0
"04166",19900725,1990,7,25,8.3,18.2,25.6,0
"04166",19900726,1990,7,26,10,19.2,26.7,0
"04166",19900727,1990,7,27,11.5,23.2,30.3,0
"04166",19900728,1990,7,28,15.2,25,33,0
"04166",19900729,1990,7,29,18,23.9,29.8,0
"04166",19900730,1990,7,30,17.9,22.2,26.5,0
"04166",19900731,1990,7,31,17.3,22.4,26,0
"04166",19900801,1990,8,1,17.1,23.3,29,0
"04166",19900802,1990,8,2,14.6,23.3,31.1,0
"04166",19900803,1990,8,3,13.5,23.4,31.8,0
