"Lenningen.Schopfloch.mean_bias","Lenningen.Schopfloch.stdev_bias","Lenningen.Schopfloch.filled","Lenningen.Schopfloch.gaps_remain","Reutlingen.Betzingen.mean_bias","Reutlingen.Betzingen.stdev_bias","Reutlingen.Betzingen.filled","Reutlingen.Betzingen.gaps_remain","Stuttgart.Echterdingen.mean_bias","Stuttgart.Echterdingen.stdev_bias","Stuttgart.Echterdingen.filled","Stuttgart.Echterdingen.gaps_remain"
-1.709,2.032,80,1027,-2.062,1.664,0,1027,-1.95,1.595,1027,0
-0.085,1.283,80,1027,-2.999,1.501,0,1027,-2.352,1.383,1027,0
