"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH","Data_source"
"2066/2067",2067,120,120,100,1371,970,69.204531587128,694.819456718118,"simulated"
"2067/2068",2068,120,120,100,951,610.5,62.775482553081,443.753721447632,"simulated"
"2068/2069",2069,121,121,100,1528,1198.5,75.0201522788629,1028.46500273848,"simulated"
"2069/2070",2070,120,120,100,1160,892,66.6191906157045,967.768353862605,"simulated"
"2070/2071",2071,120,120,100,1165,828.5,65.374382891862,783.942104288836,"simulated"
"2071/2072",2072,120,120,100,1015,809,62.6399212366764,953.084128021733,"simulated"
"2072/2073",2073,121,121,100,1226,1032.5,73.0358525129617,1515.91082602479,"simulated"
"2073/2074",2074,120,120,100,1409,1131.5,74.2045228685939,1016.85405459099,"simulated"
"2074/2075",2075,120,120,100,1020,853,64.0454574670362,2117.13188355153,"simulated"
"2075/2076",2076,120,120,100,1360,1176.5,73.6428451573727,1594.96824837922,"simulated"
"2076/2077",2077,121,121,100,1495,1140,74.5694495944405,936.389801324573,"simulated"
"2077/2078",2078,120,120,100,914,594,61.0850881302371,410.417851356045,"simulated"
"2078/2079",2079,120,120,100,995,610,57.9489929814561,155.022855960113,"simulated"
"2079/2080",2080,120,120,100,1285,911.5,69.7049294802077,449.008517322636,"simulated"
"2080/2081",2081,121,121,100,1375,1097.5,72.8346500767218,996.606662327259,"simulated"
"2081/2082",2082,120,120,100,1394,969,66.0686312927327,853.029813397052,"simulated"
"2082/2083",2083,120,120,100,1154,871.5,68.2238566219634,920.603145979465,"simulated"
"2083/2084",2084,120,120,100,1478,1161.5,73.8102742962811,1377.79157052715,"simulated"
"2084/2085",2085,121,121,100,864,580,55.631671670176,702.007750877424,"simulated"
"2085/2086",2086,120,120,100,1381,989,66.8695503910104,510.26189470131,"simulated"
"2086/2087",2087,120,120,100,992,736.5,63.4387950436061,571.329417845339,"simulated"
"2087/2088",2088,120,120,100,1176,795,66.1466619648203,530.322943167561,"simulated"
"2088/2089",2089,121,121,100,1204,915,69.1210680609786,767.097231330671,"simulated"
"2089/2090",2090,120,120,100,1267,861.5,70.4861494621237,437.841372842303,"simulated"
"2090/2091",2091,120,120,100,905,503,62.3438618381295,181.018182668175,"simulated"
"2091/2092",2092,120,120,100,1115,766,62.8257444355926,280.622322092114,"simulated"
"2092/2093",2093,121,121,100,1048,733.5,67.3887773420085,340.054168207036,"simulated"
"2093/2094",2094,120,120,100,1346,1044.5,71.4408334219096,745.110228486562,"simulated"
"2094/2095",2095,120,120,100,1265,967,67.5632808748127,649.616915761481,"simulated"
"2095/2096",2096,120,120,100,1391,883,72.4617983814537,395.606649162065,"simulated"
"2096/2097",2097,121,121,100,1332,1077,74.0662800635705,2087.5963895972,"simulated"
"2097/2098",2098,120,120,100,1141,986,70.7522186359598,1365.12848311631,"simulated"
"2098/2099",2099,120,120,100,1275,908,65.8616608659095,567.038739779679,"simulated"
"2099/2100",2100,120,120,100,1102,774,64.1290654468595,944.440348810003,"simulated"
